record,repeat,profile,logN,levels,logQP,mode,terms,pre_max_error,pre_avg_error,post_max_error,post_avg_error,wrong_slots,over_1e-4_slots,duration
measurement,1,sm4-xboot-default,12,14,635.000,direct,1,1.51297251e-07,1.72689685e-08,4.30741469e-05,2.41995817e-06,0,0,490.649664ms
measurement,1,sm4-xboot-default,12,14,635.000,direct,2,1.46715330e-07,1.73761276e-08,3.83515965e-05,2.40806705e-06,0,0,498.861034ms
measurement,1,sm4-xboot-default,12,14,635.000,direct,42,1.31365923e-07,1.73087180e-08,2.88753822e-05,2.58321656e-06,0,0,501.441869ms
measurement,1,sm4-xboot-default,12,14,635.000,direct,124,1.46775399e-07,1.71001905e-08,2.67828392e-05,2.43730270e-06,0,0,503.745699ms
measurement,1,sm4-xboot-default,12,14,635.000,direct,256,1.57271614e-07,1.75214575e-08,3.87203228e-05,2.06718483e-06,0,0,549.741991ms
measurement,1,sm4-xboot-default,12,14,635.000,independent,1,1.60209912e-07,2.09166585e-08,5.57263293e-05,2.51071127e-06,0,0,506.769917ms
measurement,1,sm4-xboot-default,12,14,635.000,independent,2,1.97353044e-07,2.39036547e-08,3.59018716e-05,2.28055763e-06,0,0,502.43901ms
measurement,1,sm4-xboot-default,12,14,635.000,independent,42,1.09428221e-06,6.57164855e-08,3.58541369e-05,2.66003752e-06,0,0,499.867149ms
measurement,1,sm4-xboot-default,12,14,635.000,independent,124,1.52702962e-06,1.04148754e-07,3.43072742e-05,2.53583792e-06,0,0,544.648752ms
measurement,1,sm4-xboot-default,12,14,635.000,independent,256,2.10181804e-06,1.46120012e-07,3.00861750e-05,2.09392297e-06,0,0,499.845715ms
measurement,1,sm4-xboot-default,12,14,635.000,correlated,1,1.58522902e-07,1.76626807e-08,3.89813982e-05,2.44084639e-06,0,0,520.35294ms
measurement,1,sm4-xboot-default,12,14,635.000,correlated,2,3.17045804e-07,2.64616755e-08,4.29237115e-05,1.95903608e-06,0,0,532.71718ms
measurement,1,sm4-xboot-default,12,14,635.000,correlated,42,6.65796188e-06,3.79854611e-07,4.17246408e-05,2.11379658e-06,0,0,500.821501ms
measurement,1,sm4-xboot-default,12,14,635.000,correlated,124,1.96568398e-05,1.10501134e-06,3.88549160e-05,2.04713991e-06,0,0,504.484021ms
measurement,1,sm4-xboot-default,12,14,635.000,correlated,256,4.05818629e-05,2.27197541e-06,4.26805263e-05,1.97590946e-06,0,0,518.800579ms
measurement,2,sm4-xboot-default,12,14,635.000,direct,1,1.56781448e-07,1.69790197e-08,4.84836052e-05,2.40698495e-06,0,0,505.265062ms
measurement,2,sm4-xboot-default,12,14,635.000,direct,2,1.46751445e-07,1.70348026e-08,4.28828684e-05,2.39896238e-06,0,0,503.147841ms
measurement,2,sm4-xboot-default,12,14,635.000,direct,42,1.57741873e-07,1.75447858e-08,4.66389557e-05,2.61423403e-06,0,0,494.441088ms
measurement,2,sm4-xboot-default,12,14,635.000,direct,124,1.37503974e-07,1.73271216e-08,5.13726753e-05,2.49627501e-06,0,0,505.123497ms
measurement,2,sm4-xboot-default,12,14,635.000,direct,256,1.54054845e-07,1.67100374e-08,3.28779639e-05,2.06293445e-06,0,0,494.320916ms
measurement,2,sm4-xboot-default,12,14,635.000,independent,1,2.48368293e-07,2.09016087e-08,5.31734453e-05,2.39163350e-06,0,0,533.560282ms
measurement,2,sm4-xboot-default,12,14,635.000,independent,2,2.77847599e-07,2.32654621e-08,3.80281501e-05,2.27310331e-06,0,0,507.615447ms
measurement,2,sm4-xboot-default,12,14,635.000,independent,42,1.03761247e-06,6.53388867e-08,2.87248777e-05,2.70918515e-06,0,0,526.995162ms
measurement,2,sm4-xboot-default,12,14,635.000,independent,124,1.27072496e-06,1.05151299e-07,2.85551544e-05,2.46587176e-06,0,0,513.962784ms
measurement,2,sm4-xboot-default,12,14,635.000,independent,256,2.28490842e-06,1.45004552e-07,3.32409182e-05,2.12715063e-06,0,0,507.195178ms
measurement,2,sm4-xboot-default,12,14,635.000,correlated,1,1.53121664e-07,1.76059452e-08,3.43959651e-05,2.42107631e-06,0,0,500.65389ms
measurement,2,sm4-xboot-default,12,14,635.000,correlated,2,3.06243327e-07,2.60958763e-08,3.79478045e-05,1.88615048e-06,0,0,523.620318ms
measurement,2,sm4-xboot-default,12,14,635.000,correlated,42,6.43110987e-06,3.76626126e-07,4.38002740e-05,2.10231085e-06,0,0,504.410918ms
measurement,2,sm4-xboot-default,12,14,635.000,correlated,124,1.89870863e-05,1.09575988e-06,3.97578589e-05,2.13764848e-06,0,0,493.110092ms
measurement,2,sm4-xboot-default,12,14,635.000,correlated,256,3.91991459e-05,2.25218179e-06,3.22344263e-05,2.03613791e-06,0,0,503.010828ms
measurement,3,sm4-xboot-default,12,14,635.000,direct,1,1.52671118e-07,1.69989496e-08,3.37885334e-05,2.39156179e-06,0,0,521.707635ms
measurement,3,sm4-xboot-default,12,14,635.000,direct,2,1.66021770e-07,1.73473692e-08,3.23275377e-05,2.40774894e-06,0,0,513.381599ms
measurement,3,sm4-xboot-default,12,14,635.000,direct,42,1.36658237e-07,1.76377717e-08,3.37116191e-05,2.64410381e-06,0,0,505.900827ms
measurement,3,sm4-xboot-default,12,14,635.000,direct,124,1.46475784e-07,1.72895997e-08,3.41918479e-05,2.42694681e-06,0,0,521.850844ms
measurement,3,sm4-xboot-default,12,14,635.000,direct,256,1.88163312e-07,1.74335450e-08,3.38064181e-05,2.10026075e-06,0,0,514.314558ms
measurement,3,sm4-xboot-default,12,14,635.000,independent,1,1.69593398e-07,2.09555397e-08,4.34950014e-05,2.44915989e-06,0,0,499.918443ms
measurement,3,sm4-xboot-default,12,14,635.000,independent,2,2.44649328e-07,2.39852929e-08,3.41450018e-05,2.28732281e-06,0,0,501.698441ms
measurement,3,sm4-xboot-default,12,14,635.000,independent,42,1.10199487e-06,6.50121681e-08,3.17447142e-05,2.71297588e-06,0,0,490.012689ms
measurement,3,sm4-xboot-default,12,14,635.000,independent,124,1.94782431e-06,1.03671028e-07,3.82653220e-05,2.49692170e-06,0,0,499.932144ms
measurement,3,sm4-xboot-default,12,14,635.000,independent,256,2.09169957e-06,1.46145583e-07,3.66874962e-05,2.11994142e-06,0,0,555.474023ms
measurement,3,sm4-xboot-default,12,14,635.000,correlated,1,1.43096702e-07,1.73477652e-08,3.81409616e-05,2.38298181e-06,0,0,506.100679ms
measurement,3,sm4-xboot-default,12,14,635.000,correlated,2,2.62711195e-07,2.59687413e-08,3.77041639e-05,1.82388939e-06,0,0,499.553341ms
measurement,3,sm4-xboot-default,12,14,635.000,correlated,42,5.51693510e-06,3.71719776e-07,3.34408835e-05,2.12729569e-06,0,0,470.579704ms
measurement,3,sm4-xboot-default,12,14,635.000,correlated,124,1.62880941e-05,1.07988088e-06,4.61853306e-05,2.13663459e-06,0,0,472.351806ms
measurement,3,sm4-xboot-default,12,14,635.000,correlated,256,3.36270330e-05,2.22052473e-06,4.51971293e-05,1.99310797e-06,0,0,534.327317ms
